timestamp,name,device_name,hit_score,speed,hit_accuracy,hit_ratio,hit_factor
2024-02-16 17:58:52,1020,PICO-01,27.0,1.8980000000000001,0.8503903,0.0,24.0072321
2024-02-16 22:25:45,1061,PICO-01,58.0,5.8488750000000005,0.8908266,0.0,16.5447752
2024-02-18 01:16:17,1062,PICO-01,66.0,5.1255,0.786225,0.0,16.920635
2024-02-18 01:51:37,1063,PICO-01,71.0,5.027,0.8136994,0.0,18.075699000000004
2024-02-18 04:34:54,1064,PICO-01,60.0,4.607374999999999,0.7714735,0.0,18.8177569
2024-02-18 23:09:09,1066,PICO-01,85.0,6.7764999999999995,0.8571962,0.0,17.678330499999998
2024-02-21 23:39:00,1068,PICO-01,72.0,5.723999999999999,0.8013815,0.0,15.046292000000001
2024-02-21 23:58:37,1069,PICO-01,105.0,7.72325,0.8533387,0.0,17.716219000000002
2024-02-22 00:22:24,1070,PICO-01,46.0,7.886125,0.7188789,0.0,6.2637133
2024-02-22 00:51:48,1071,PICO-01,43.0,4.5155,0.8681719,0.0,13.487853300000001
2024-02-22 01:14:34,1072,PICO-01,43.0,4.756,0.4140985,0.0,10.4973007
2024-02-22 03:19:50,1073,PICO-01,57.0,5.1267499999999995,0.8221936,0.0,12.7901547
2024-02-23 04:20:50,GUEST,PICO-01,73.0,4.39525,0.9178497,0.0,31.463872
2024-02-23 20:19:14,1078,PICO-01,39.0,6.546124999999999,0.7586644,0.0,11.1939111
2024-02-23 20:51:30,1079,PICO-01,58.0,6.651250000000001,0.7595024,0.0,15.408898300000002
2024-02-23 21:25:44,1080,PICO-01,47.0,6.558375,0.672164,0.0,10.1685429
2024-02-23 22:16:57,1081,PICO-01,46.0,8.507124999999998,0.675659,0.0,8.733581899999999
2024-02-23 23:01:58,1082,PICO-01,57.0,6.7398750000000005,0.5477524,0.0,6.9664865
2024-02-27 16:33:07,1088,PICO-01,62.0,7.38,0.8118442,0.0,13.1534868
2024-02-29 20:00:15,1092,PICO-01,81.0,8.866,0.9106924,0.0,16.9116256
2024-03-03 02:45:13,1098,PICO-01,49.0,8.927750000000001,0.7178396,0.0,9.572901
2024-03-05 21:35:48,1103,PICO-01,48.0,6.986375,0.6871453,0.0,11.000508300000002
2024-03-06 22:00:50,1104,PICO-01,66.0,5.8015,0.9839937,0.0,14.7326825
2024-03-06 22:51:42,1105,PICO-01,72.0,3.6652500000000003,0.8436778,0.0,25.269935400000005
2024-03-07 03:12:49,1107,PICO-01,57.0,5.9005,0.766999,0.0,16.5454053
2024-03-07 18:33:23,1109,PICO-01,47.0,4.0945,0.8288331,0.0,17.880505199999998
2024-03-07 19:09:35,1110,PICO-01,102.0,4.014875,0.9202369,0.75,31.613401
2024-03-07 19:29:37,1111,PICO-01,49.0,5.4055,0.7166422,0.0,12.7135858
2024-03-07 21:20:44,1112,PICO-01,98.0,5.53275,0.9606711,0.0,23.691061
2024-05-30 12:47:43,GUEST,PICO-02,36.0,2.9538749999999996,0.8628448,0.0,13.0652
2024-06-02 13:19:03,GUEST,PICO-06,110.0,6.071625,0.9651501,0.0,19.166210999999997
